Product URL,Image URL
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-balloon-effect-dress_87029068,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87029068_20.jpg?imwidth=493&imdensity=1&ts=1744713323896
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-balloon-effect-dress_87047181,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87047181_70.jpg?imwidth=493&imdensity=1&ts=1741188910818
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-balloon-effect-gathered-dress_87035768,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87035768_99.jpg?imwidth=493&imdensity=1&ts=1739269522340
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-belted-dress_87038652,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87038652_81.jpg?imwidth=493&imdensity=1&ts=1744621498417
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-button-down-linen-blend-dress_87039065,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87039065_05.jpg?imwidth=493&imdensity=1&ts=1744713323896
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-button-down-linen-blend-dress_87039065?c=74,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87039065_74.jpg?imwidth=493&imdensity=1&ts=1744713323896
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-chiffon-combined-dress_87014425,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87014425_05.jpg?imwidth=493&imdensity=1&ts=1736872505863
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-combined-dress_87099208,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87099208_99.jpg?imwidth=493&imdensity=1&ts=1741188910818
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-cut-out-dress-with-bows_87049067,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87049067_50.jpg?imwidth=493&imdensity=1&ts=1744621498417
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-dress-with-combined-design_87099209,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87099209_99.jpg?imwidth=493&imdensity=1&ts=1742229325614
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-dress-with-gathered-panels_87018656,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87018656_56.jpg?imwidth=493&imdensity=1&ts=1747053340010
