URL,Reference,Description,Sizes,Inventory,Image,Color
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/floral-crochet-dress_77070384,77070384,Cotton blend fabric. Short design. Straight design. Floral pattern. Round neck. Sleeveless. Inner lining. No closure. Crochet fabric.,"4, 6, 8","Available, Available, Not Available",,Ecru
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/floral-print-dress-with-knot_87070581,87070581,100% cotton fabric. Lightweight fabric. Floral print. Shirt Collar. Short sleeve. Front button closure. Frill detail. Knot detail at the front.,"2, 4, 6, 8, 10","Available, Not Available, Available, Last Few Items, Not Available",,Ecru
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/halter-dress-with-feather-decoration_87010271,87010271,"This piece with a halter neckline and feather trim brings sophistication, but at the same time a fun, rejuvenating and different touch. Fluid fabric. Straight design. Short design. Feather detail. Halter neck. Open back. Sleeveless. Bow at the neck. Maxi bow. Inner lining. Party and ceremony collection. Items from the CAPSULE collection can be exchanged or returned within 14 days from the date of shipment. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","2, 4, 6, 8, 10","Last Few Items, Last Few Items, Available, Last Few Items, Last Few Items",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/halter-dress-with-feather-decoration_87025971,87025971,"This piece with a halter neckline and feather trim brings sophistication, but at the same time a fun, rejuvenating and different touch. Short design. Straight design. Ostrich feather ornament. Halter neck. Sleeveless. Button closure at the neck. Bow detail at the neck. Inner lining. Exclusive Online. Party and ceremony collection. Items from the CAPSULE collection can be exchanged or returned within 14 days from the date of shipment. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","2, 4, 6, 8, 10","Last Few Items, Last Few Items, Available, Available, Last Few Items",,Ecru
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/knitted-dress-openwork-details_87097190,87097190,Fine knit fabric. Short design. Straight design. Boat neck. Sleeveless. Openwork details. No closure.,"4, 6, 8","Available, Available, Available",,Ecru
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/knitted-dress-with-bow-neckline_17061217,17061217,Fine knit fabric. Short design. A-line design. V-neck. Bow detail on the neckline. Short sleeve. No closure.,"0, 2, 4, 6, 8, 10, 12","Last Few Items, Available, Available, Available, Available, Available, Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/knitted-dress-with-bow-neckline_17061217?c=70,17061217,Fine knit fabric. Short design. A-line design. V-neck. Bow detail on the neckline. Short sleeve. No closure.,"0, 2, 4, 6, 8, 10, 12","Available, Available, Available, Available, Available, Available, Last Few Items",,Red
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/knitted-dress-with-combined-stripes_87087190,87087190,Knitted fabric. Fitted design. Short design. Striped print. Round neck. Wide straps. No closure.,"0, 2, 4, 6, 8, 10, 12","Available, Available, Available, Available, Available, Available, Available",,Dark Navy
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/knot-detail-shirt-dress_87012534,87012534,Linen blend fabric. Lightweight fabric. Fluid fabric. Short design. A-line design. Shirt Collar. Long sleeve with buttoned cuffs. Button Closure at the Front. Knot detail at the front.,"2, 4, 6, 8, 10","Available, Available, Last Few Items, Available, Last Few Items",,Red
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/lace-detail-shirt-dress_87090582,87090582,100% cotton. Lightweight fabric. Straight design. Short design. Shirt Collar. Short sleeve. Fitted waist. Front button closure. Lace hem. Unlined.,"2, 4, 6, 8, 10","Not Available, Not Available, Available, Available, Not Available",,Blue
