URL,Reference,Description,Sizes,Inventory,Image,Color
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/long-jumpsuit-with-draped-neckline_87026373,87026373,"Straight design. Long design. Asymmetric neckline. A sleeve. Draped neck. Back zipper closure. Inner lining. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","XS, S, M, L, XL","Available, Available, Available, Available, Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/long-jumpsuit-with-tassel-belt_87188652,87188652,Fluid fabric. No Print. Straight silhouette. Light Flat Structure. Peak Lapel. Length Ankle brace. Fantasy Ruffle. Closure location: Back closure. Wide strap. Long design. V-neck. Sleeveless. Wide straps. Ruffled straps. Invisible back zip fastening. Decorative drawstring. Completed with tassels. Inner lining. Party and ceremony collection. Straight design.,"XXS, XS, S, M, L, XL, XXL","Last Few Items, Available, Available, Available, Available, Available, Last Few Items",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/long-lyocell-jumpsuit-with-belt_87049404,87049404,Lyocell fabric. Long design. Straight design. Low neckline. Sleeveless. Wide straps. Belt loops. Belt buckle fastening. Two side pockets. Back zipper closure.,"XXS, XS, S, M, L, XL, XXL","Available, Available, Available, Available, Available, Available, Available",,Off White
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/long-satin-textured-jumpsuit_87044063,87044063,"Satin fabric. Textured. Long design. Straight design. Tie-dye print. Round neck. Sleeveless. Knot on the waist. Side zipper closure. Inner lining. Ramadan Collection. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","XS, S, M, L, XL","Not Available, Last Few Items, Not Available, Last Few Items, Last Few Items",,Pastel Yellow
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/long-strapless-jumpsuit_17041210,17041210,Long design. Strapless. Sleeveless. Frill detail. Elastic ruched panel at back. Back zipper closure. 100% cotton lining.,"XXS, XS, S, M, L, XL, XXL","Available, Available, Available, Available, Available, Available, Available",,Dark Orange
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/lyocell-maternity-jumpsuit_87085742,87085742,Lyocell fabric. Soft denim. Long design. Fitted design. V-neck. Sleeveless. Wide straps. Knot detail at the waist. Two side pockets. Front button closure. Exclusive Online.,"S, M, L","Available, Available, Available",,Dark Blue
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/maxi-flower-halter-neck-jumpsuit_17051264,17051264,"This jumpsuit combines sophistication and originality, featuring a halter neckline that elegantly enhances the figure. The maxi flower on the neck adds a touch of creativity and femininity, making this design the perfect choice for those who want a stylish look that stands out. Long design. Halter neck. Flower decoration on the neck. Sleeveless. Back zipper closure. Inner lining. Items from the CAPSULE collection can be exchanged or returned within 14 days from the date of shipment. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","XS, S, M, L, XL","Available, Available, Available, Available, Available",,Red
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/pinstripe-jumpsuit-with-belt_87034069,87034069,Fluid fabric. Straight design. Long design. V-neck. Sleeveless. Button Closure at the Front. Adjustable belt.,"XXS, XS, S, M, L, XL, XXL, 1XL, 2XL, 3XL, 4XL","Not Available, Available, Last Few Items, Available, Last Few Items, Not Available, Not Available, Last Few Items, Not Available, Last Few Items, Last Few Items",,Billiard Green
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/polo-neck-jumpsuit_87073271,87073271,Cable knit fabric. Slim fit. Short design. Polo collar. Long sleeves. Front button closure. The model is 1.80 cm tall and is wearing a size 36.,"S, M, L, XL","Available, Available, Available, Last Few Items",,Charcoal
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/printed-linen-jumpsuit-with-belt_87058647,87058647,Linen blend fabric. Long design. Straight design. V-neck. Leaf print. Short sleeve. Belt loops. Belt buckle fastening. Two side pockets. Button closure at the back.,"XXS, XS, S, M, L, XL, XXL","Last Few Items, Available, Available, Available, Available, Available, Available",,Brown
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/printed-strapless-jumpsuit_87067173,87067173,Straight design. Long design. Turn-down neckline. Strapless. Sleeveless. Abstract-print. Back zipper closure. Elastic ruched panel at back. Available in Plus. Straps for greater support from size 1XL.,"XXS, XS, S, M, L, XL, XXL, 1XL, 2XL, 3XL, 4XL","Not Available, Last Few Items, Last Few Items, Not Available, Available, Not Available, Last Few Items, Not Available, Not Available, Not Available, Not Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/rinse-wash-denim-jumpsuit-with-belt_87083273,87083273,100% Cotton. Denim-style cotton fabric. Long design. Straight design. Shirt Collar. Long sleeve with buttoned cuffs. Belt loops. Belt buckle fastening. Jeans with tie closure. Front snap button closure. Inner lining.,"XXS, XS, S, M, L, XL","Available, Available, Available, Available, Last Few Items, Available",,Open Blue
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/satin-maxi-ruffle-jumpsuit_87095987,87095987,"This satin-effect jumpsuit offers an elegant shine and a soft touch that makes it stand out. Its asymmetrical design, complemented by a multi-position flared sleeve, adds a touch of dynamism and versatility. Ideal for those looking for a garment that combines modernity and sophistication, this jumpsuit is perfect for any special event. Fluid fabric with satin finish. Straight design. Long design. Asymmetric neckline. Sleeve with maxi frill detail. Multi-position sleeve. Side zipper closure. Bow on the waist. Party and ceremony collection. Items from the CAPSULE collection can be exchanged or returned within 14 days from the date of shipment. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","XS, S, M, L","Available, Available, Available, Available",,Blue
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/shift-long-jumpsuit_17091246,17091246,Long design. Straight design. Low neckline. Sleeveless. Thin Straps. No closure.,"XS, S, M, L, XL","Available, Available, Available, Available, Available",,Dark Navy
